,YY,LE,CC
AF,1961,42.59774953095685,AF
AS,1961,54.57121602787457,AS
EU,1961,68.76038954703833,EU
NA,1961,58.43625925925926,NA
OC,1961,55.16385144124169,OC
SA,1961,56.370000000000005,SA
AllWorld,1961,55.98324430106178,AllWorld
AF,1962,43.11081332082552,AF
AS,1962,55.0410862369338,AS
EU,1962,68.7186905923345,EU
NA,1962,58.8493342366757,NA
OC,1962,55.70679157427938,OC
SA,1962,56.62425,SA
AllWorld,1962,56.34182766017482,AllWorld
AF,1963,43.371581144465296,AF
AS,1963,54.816103884372176,AS
EU,1963,68.98485017421604,EU
NA,1963,59.25809304426378,NA
OC,1963,56.27458980044346,OC
SA,1963,56.966750000000005,SA
AllWorld,1963,56.61199467462679,AllWorld
AF,1964,43.919634615384616,AF
AS,1964,55.60597289972899,AS
EU,1964,69.58336097560976,EU
NA,1964,59.83078410117434,NA
OC,1964,56.806115299334806,OC
SA,1964,57.16775,SA
AllWorld,1964,57.15226964853876,AllWorld
AF,1965,44.12722795497186,AF
AS,1965,56.33374254742548,AS
EU,1965,69.62530174216027,EU
NA,1965,60.09926196928636,NA
OC,1965,57.305439024390246,OC
SA,1965,57.472750000000005,SA
AllWorld,1965,57.49395387303904,AllWorld
AF,1966,44.35446529080676,AF
AS,1966,57.50466724738676,AS
EU,1966,69.84847386759583,EU
NA,1966,60.511670280036135,NA
OC,1966,57.74876274944568,OC
SA,1966,57.88625,SA
AllWorld,1966,57.97571490587853,AllWorld
AF,1967,44.73466416510319,AF
AS,1967,58.031028745644605,AS
EU,1967,70.02572961672475,EU
NA,1967,60.87163143631437,NA
OC,1967,58.33137915742793,OC
SA,1967,58.1795,SA
AllWorld,1967,58.36232218686914,AllWorld
AF,1968,45.11693855534709,AF
AS,1968,58.60223344947735,AS
EU,1968,69.9486425087108,EU
NA,1968,61.1910243902439,NA
OC,1968,58.82339911308204,OC
SA,1968,58.43825,SA
AllWorld,1968,58.68674800281019,AllWorld
AF,1969,45.17,AF
AS,1969,59.13267857142858,AS
EU,1969,69.8098355400697,EU
NA,1969,61.51946522131888,NA
OC,1969,59.30674279379157,OC
SA,1969,58.7475,SA
AllWorld,1969,58.947703687768126,AllWorld
AF,1970,45.60300703564728,AF
AS,1970,59.67033885017422,AS
EU,1970,70.11483972125437,EU
NA,1970,61.602457091237575,NA
OC,1970,59.75992461197339,OC
SA,1970,59.235,SA
AllWorld,1970,59.3309278850478,AllWorld
AF,1971,46.16103799249531,AF
AS,1971,60.11917944250872,AS
EU,1971,70.31143344947736,EU
NA,1971,62.33203252032521,NA
OC,1971,60.2500155210643,OC
SA,1971,59.54075,SA
AllWorld,1971,59.78574148764515,AllWorld
AF,1972,46.383489681050655,AF
AS,1972,60.79907578397213,AS
EU,1972,70.5761818815331,EU
NA,1972,62.42302077687444,NA
OC,1972,60.43520620842572,OC
SA,1972,60.00725,SA
AllWorld,1972,60.10403738864267,AllWorld
AF,1973,47.15905206378987,AF
AS,1973,61.25625609756098,AS
EU,1973,70.76593170731707,EU
NA,1973,63.13872628726287,NA
OC,1973,60.96457206208425,OC
SA,1973,60.4655,SA
AllWorld,1973,60.62500636966917,AllWorld
AF,1974,47.56295684803002,AF
AS,1974,61.23189634146342,AS
EU,1974,70.96718327526133,EU
NA,1974,63.515694670280034,NA
OC,1974,61.43439911308204,OC
SA,1974,60.84825,SA
AllWorld,1974,60.92673004135281,AllWorld
AF,1975,47.87636163227017,AF
AS,1975,61.87813414634147,AS
EU,1975,71.05809965156796,EU
NA,1975,64.1319241192412,NA
OC,1975,61.672137472283815,OC
SA,1975,61.2555,SA
AllWorld,1975,61.3120261702841,AllWorld
AF,1976,48.24914962476548,AF
AS,1976,61.569094076655055,AS
EU,1976,71.25519721254356,EU
NA,1976,64.20347515808491,NA
OC,1976,62.25363192904656,OC
SA,1976,61.57975,SA
AllWorld,1976,61.51838300018259,AllWorld
AF,1977,48.98288649155722,AF
AS,1977,62.860788327526144,AS
EU,1977,71.55128222996515,EU
NA,1977,64.7737443541102,NA
OC,1977,62.526572062084256,OC
SA,1977,62.02475,SA
AllWorld,1977,62.12000391087383,AllWorld
AF,1978,49.41574859287054,AF
AS,1978,63.279552264808366,AS
EU,1978,71.59948222996516,EU
NA,1978,64.93287979094076,NA
OC,1978,63.13041019955654,OC
SA,1978,62.398,SA
AllWorld,1978,62.45934551302357,AllWorld
AF,1979,49.958335365853664,AF
AS,1979,63.69876219512195,AS
EU,1979,71.75414982578398,EU
NA,1979,65.07878571428571,NA
OC,1979,63.52829933481154,OC
SA,1979,62.79675,SA
AllWorld,1979,62.80251373930948,AllWorld
AF,1980,50.88243488265071,AF
AS,1980,64.06085191637632,AS
EU,1980,71.84714634146341,EU
NA,1980,65.4391149825784,NA
OC,1980,63.8340243902439,OC
SA,1980,63.148,SA
AllWorld,1980,63.201928752218784,AllWorld
AF,1981,51.30452369995398,AF
AS,1981,64.23369425087108,AS
EU,1981,72.11785574912892,EU
NA,1981,65.77926655052265,NA
OC,1981,64.22581374722837,OC
SA,1981,63.6625,SA
AllWorld,1981,63.55394233295084,AllWorld
AF,1982,51.71660653474459,AF
AS,1982,63.75029878048781,AS
EU,1982,72.4179205574913,EU
NA,1982,65.97774825783972,NA
OC,1982,64.52885365853659,OC
SA,1982,63.95125,SA
AllWorld,1982,63.72377963151667,AllWorld
AF,1983,51.690878508973775,AF
AS,1983,64.95523606271777,AS
EU,1983,72.3855087108014,EU
NA,1983,66.31891463414634,NA
OC,1983,64.90187361419069,OC
SA,1983,64.277,SA
AllWorld,1983,64.08823525513831,AllWorld
AF,1984,51.889482282558674,AF
AS,1984,65.2580993031359,AS
EU,1984,72.6267324041812,EU
NA,1984,66.81631707317074,NA
OC,1984,65.30861197339246,OC
SA,1984,64.5475,SA
AllWorld,1984,64.40779050607317,AllWorld
AF,1985,52.23553198343304,AF
AS,1985,65.61792508710802,AS
EU,1985,72.68203414634148,EU
NA,1985,67.11180836236933,NA
OC,1985,65.56647893569844,OC
SA,1985,64.92075,SA
AllWorld,1985,64.68908808582505,AllWorld
AF,1986,52.58417257248044,AF
AS,1986,66.08522822299652,AS
EU,1986,73.16780627177702,EU
NA,1986,67.56577351916377,NA
OC,1986,65.80472283813748,OC
SA,1986,65.2875,SA
AllWorld,1986,65.08253390409254,AllWorld
AF,1987,52.57448228255867,AF
AS,1987,66.46021951219512,AS
EU,1987,73.41604181184668,EU
NA,1987,67.92372212543555,NA
OC,1987,66.52529268292683,OC
SA,1987,65.73124999999999,SA
AllWorld,1987,65.4385014024938,AllWorld
AF,1988,52.38338978370916,AF
AS,1988,66.20239721254356,AS
EU,1988,73.58441184668989,EU
NA,1988,68.32226742160279,NA
OC,1988,66.40867184035477,OC
SA,1988,66.17725,SA
AllWorld,1988,65.51306468415004,AllWorld
AF,1989,53.145579843534286,AF
AS,1989,67.3572212543554,AS
EU,1989,73.65181393728224,EU
NA,1989,68.54924303135888,NA
OC,1989,66.64994456762749,OC
SA,1989,66.52199999999999,SA
AllWorld,1989,65.97930043902637,AllWorld
AF,1990,53.12449424758398,AF
AS,1990,67.54387216148024,AS
EU,1990,73.69341811846691,EU
NA,1990,68.94662543554007,NA
OC,1990,67.12469308943089,OC
SA,1990,66.81675,SA
AllWorld,1990,66.20830884208368,AllWorld
AF,1991,52.96862816382881,AF
AS,1991,68.07836837678722,AS
EU,1991,73.6261632791328,EU
NA,1991,69.26171864111498,NA
OC,1991,67.22533702882484,OC
SA,1991,67.2065,SA
AllWorld,1991,66.39445258161477,AllWorld
AF,1992,52.72370133456052,AF
AS,1992,68.0812708158116,AS
EU,1992,73.264412543554,EU
NA,1992,69.49716463414634,NA
OC,1992,67.30258093126386,OC
SA,1992,67.4865,SA
AllWorld,1992,66.39260504322272,AllWorld
AF,1993,52.98680395766222,AF
AS,1993,68.22119091673676,AS
EU,1993,73.08102299651569,EU
NA,1993,69.76418989547038,NA
OC,1993,67.72719512195123,OC
SA,1993,67.82925,SA
AllWorld,1993,66.60160881472272,AllWorld
AF,1994,53.14199631845375,AF
AS,1994,68.44151976450799,AS
EU,1994,73.8213455284553,EU
NA,1994,69.98233449477353,NA
OC,1994,67.98090243902439,OC
SA,1994,68.25025,SA
AllWorld,1994,66.93639142420248,AllWorld
AF,1995,53.38859963184537,AF
AS,1995,68.65230613961312,AS
EU,1995,73.95804200542005,EU
NA,1995,70.20812979094076,NA
OC,1995,68.52606504065041,OC
SA,1995,68.48375,SA
AllWorld,1995,67.20281543474495,AllWorld
AF,1996,53.40162080073631,AF
AS,1996,68.90813372582002,AS
EU,1996,74.42443834688349,EU
NA,1996,70.48206010452962,NA
OC,1996,68.45870953436807,OC
SA,1996,68.812,SA
AllWorld,1996,67.41449375205626,AllWorld
AF,1997,53.39698251265532,AF
AS,1997,69.08949116904962,AS
EU,1997,74.60064864864864,EU
NA,1997,70.76462543554007,NA
OC,1997,68.75528603104213,OC
SA,1997,69.02674999999999,SA
AllWorld,1997,67.60563063282264,AllWorld
AF,1998,53.00484261389784,AF
AS,1998,69.3056778805719,AS
EU,1998,74.9639952574526,EU
NA,1998,70.76226480836237,NA
OC,1998,68.95221507760532,OC
SA,1998,69.3715,SA
AllWorld,1998,67.72674927298168,AllWorld
AF,1999,53.72270317533364,AF
AS,1999,69.72115138772077,AS
EU,1999,75.16018360433604,EU
NA,1999,71.25846515679443,NA
OC,1999,69.03834349593495,OC
SA,1999,69.6695,SA
AllWorld,1999,68.09505780335331,AllWorld
AF,2000,54.39959364933272,AF
AS,2000,70.0787905803196,AS
EU,2000,75.25684047462097,EU
NA,2000,71.5449555749129,NA
OC,2000,69.16909756097562,OC
SA,2000,69.8945,SA
AllWorld,2000,68.39062964002697,AllWorld
AF,2001,54.70391532443627,AF
AS,2001,70.39350798990749,AS
EU,2001,75.68171588661833,EU
NA,2001,71.711393728223,NA
OC,2001,69.64597117516631,OC
SA,2001,70.21775,SA
AllWorld,2001,68.7257090173919,AllWorld
AF,2002,55.06037091578463,AF
AS,2002,70.64335576114382,AS
EU,2002,75.80131575477918,EU
NA,2002,72.05377700348433,NA
OC,2002,69.61112195121952,OC
SA,2002,70.4625,SA
AllWorld,2002,68.93874023106856,AllWorld
AF,2003,55.4775158766682,AF
AS,2003,70.88579983179142,AS
EU,2003,76.02740738299276,EU
NA,2003,72.20771254355401,NA
OC,2003,69.9170310421286,OC
SA,2003,70.54675,SA
AllWorld,2003,69.17703611285583,AllWorld
AF,2004,56.009506212609296,AF
AS,2004,71.21243902439025,AS
EU,2004,76.52243968358603,EU
NA,2004,72.42355052264809,NA
OC,2004,70.05970731707318,OC
SA,2004,70.89150000000001,SA
AllWorld,2004,69.51985712671781,AllWorld
AF,2005,56.51635664979291,AF
AS,2005,71.39148528174937,AS
EU,2005,76.62204152933423,EU
NA,2005,72.76329529616724,NA
OC,2005,70.09270731707316,OC
SA,2005,71.27225,SA
AllWorld,2005,69.77635601235282,AllWorld
AF,2006,57.14255223193741,AF
AS,2006,71.62603448275863,AS
EU,2006,76.94411799604482,EU
NA,2006,73.0587417998318,NA
OC,2006,70.28834368070953,OC
SA,2006,71.56875,SA
AllWorld,2006,70.10475669854704,AllWorld
AF,2007,57.72804970087437,AF
AS,2007,71.92491084945333,AS
EU,2007,77.16164403427818,EU
NA,2007,73.33570647603028,NA
OC,2007,70.3220199556541,OC
SA,2007,71.652,SA
AllWorld,2007,70.35405516938171,AllWorld
AF,2008,58.28677634606535,AF
AS,2008,72.26550126156434,AS
EU,2008,77.52908437705999,EU
NA,2008,73.52459125315391,NA
OC,2008,70.49383813747228,OC
SA,2008,71.98725,SA
AllWorld,2008,70.68117356255264,AllWorld
AF,2009,58.90193143120111,AF
AS,2009,72.65540117746005,AS
EU,2009,77.77165853658538,EU
NA,2009,73.87707989907484,NA
OC,2009,70.58385809312638,OC
SA,2009,72.331,SA
AllWorld,2009,71.02015485624129,AllWorld
AF,2010,59.508563736769446,AF
AS,2010,72.98650462573592,AS
EU,2010,78.04910942649968,EU
NA,2010,73.68010765349032,NA
OC,2010,70.71694900221729,OC
SA,2010,72.61725,SA
AllWorld,2010,71.25974740745211,AllWorld
AF,2011,60.10249470777726,AF
AS,2011,73.12713624894869,AS
EU,2011,78.49288529993409,EU
NA,2011,74.26960975609757,NA
OC,2011,70.87062527716186,OC
SA,2011,72.8665,SA
AllWorld,2011,71.62154188165324,AllWorld
AF,2012,60.748358950759325,AF
AS,2012,73.24719259882254,AS
EU,2012,78.59281740276862,EU
NA,2012,74.46227502102606,NA
OC,2012,70.9700088691796,OC
SA,2012,73.06375,SA
AllWorld,2012,71.84740047375936,AllWorld
AF,2013,61.25216198803497,AF
AS,2013,73.47650294365013,AS
EU,2013,78.79838562953198,EU
NA,2013,74.65473338940286,NA
OC,2013,71.07775609756096,OC
SA,2013,73.26650000000001,SA
AllWorld,2013,72.08767334136348,AllWorld
AF,2014,61.692163368614814,AF
AS,2014,73.57380151387721,AS
EU,2014,79.10268820039552,EU
NA,2014,74.75443734230446,NA
OC,2014,71.14644345898004,OC
SA,2014,73.45625,SA
AllWorld,2014,72.28763064736201,AllWorld
AF,2015,62.1986847676024,AF
AS,2015,73.85094701429773,AS
EU,2015,79.00517732366514,EU
NA,2015,74.89766105971405,NA
OC,2015,71.20016629711752,OC
SA,2015,73.52325,SA
AllWorld,2015,72.44598107706614,AllWorld
AF,2016,62.7366723423838,AF
AS,2016,74.07886963835155,AS
EU,2016,79.33341793012525,EU
NA,2016,74.93291169049623,NA
OC,2016,71.38222172949003,OC
SA,2016,73.49875,SA
AllWorld,2016,72.66047388847448,AllWorld
AF,2017,63.15435158766682,AF
AS,2017,74.42486627417999,AS
EU,2017,79.48019512195124,EU
NA,2017,75.03816736753575,NA
OC,2017,71.54068514412417,OC
SA,2017,73.816,SA
AllWorld,2017,72.909044249243,AllWorld
AF,2018,63.44203405430281,AF
AS,2018,74.6165180824222,AS
EU,2018,79.57645352669745,EU
NA,2018,75.00536324041812,NA
OC,2018,71.6549578713969,OC
SA,2018,73.982,SA
AllWorld,2018,73.04622112920624,AllWorld
AF,2019,63.79055085135757,AF
AS,2019,74.81637510513036,AS
EU,2019,79.87768292682927,EU
NA,2019,75.11925522648085,NA
OC,2019,71.76566518847007,OC
SA,2019,74.17775,SA
AllWorld,2019,73.25787988304468,AllWorld
AF,2020,63.404616198803495,AF
AS,2020,73.7554819175778,AS
EU,2020,79.07962557679632,EU
NA,2020,74.19388937282231,NA
OC,2020,71.66764523281596,OC
SA,2020,72.52275,SA
AllWorld,2020,72.43733471646931,AllWorld
